"ueln" "ncapa_fenotipica" "n_dilucion_capa_feno" "sexo" "nclase_3_imbreding" "n_lustro" "vcabeza_entreojos"
"190101001701040" 4 1 2 1 1 1
"190101001702567" 1 1 1 1 1 0
"1901010017FR044" 4 1 1 1 1 0
"190101001814347" 1 1 2 1 1 0
"190101001900856" 3 1 1 3 1 1
"190101001901645" 1 1 2 1 1 0
"190101001903456" 4 1 1 1 1 1
"190101001904036" 4 1 1 2 1 1
"190101001904082" 4 1 1 1 1 0
"190101001904943" 4 1 2 1 1 0
"190101001906154" 4 1 2 1 1 0
"1901010019GB017" 4 1 2 1 1 1
"190101002000338" 4 1 1 1 1 0
"190101002002277" 4 1 1 1 1 0
"190101002002822" 4 1 2 3 1 0
"190101002003254" 4 1 2 1 1 1
"190101002003293" 4 1 2 1 1 1
"190101002003383" 1 1 2 1 1 0
"190101002003389" 4 1 2 1 1 0
"190101002003448" 4 1 2 1 1 0
"190101002003600" 4 1 2 1 1 0
"190101002004287" 3 1 1 2 1 1
"190101002004742" 4 1 2 1 1 0
"190101002005462" 4 1 1 2 1 0
"190101002005989" 1 1 1 1 1 0
"190101002007464" 4 1 2 1 1 0
"190101002007687" 1 1 1 1 1 0
"190101002008429" 4 1 2 1 1 0
"190101002008530" 1 1 2 2 1 0
"190101002008692" 1 1 2 1 1 0
"190101002008697" 4 1 2 1 1 1
"1901010020FR039" 3 1 2 1 1 0
"1901010020FR071" 4 1 2 1 1 1
"190101002100022" 1 1 1 1 1 0
"190101002100081" 4 1 2 1 1 1
"190101002100393" 1 1 2 2 1 0
"190101002100413" 4 1 2 1 1 1
"190101002100509" 4 1 2 1 1 0
"190101002100573" 1 1 1 1 1 1
"190101002101011" 4 1 2 1 1 0
"190101002101412" 4 1 2 1 1 0
"190101002101553" 4 1 2 1 1 0
"190101002101570" 4 1 2 1 1 0
"190101002102667" 1 1 2 1 1 1
"190101002102678" 4 1 2 1 1 0
"190101002102747" 4 1 2 1 1 0
"190101002102759" 1 1 2 1 1 0
"190101002103449" 2 1 2 1 1 1
"190101002103484" 4 1 1 2 1 1
"190101002103618" 4 1 2 1 1 0
"190101002103687" 1 1 1 1 1 1
"190101002103742" 4 1 2 1 1 1
"190101002103931" 1 1 2 1 1 0
"190101002103932" 4 1 2 1 1 0
"190101002104284" 3 1 2 1 1 0
"190101002104604" 4 1 2 1 1 1
"190101002104606" 4 1 1 1 1 1
"190101002105257" 1 1 2 1 1 0
"190101002105293" 1 1 2 2 1 1
"190101002105940" 4 1 2 1 1 0
"190101002106232" 4 1 2 1 1 1
"190101002106637" 1 1 2 2 1 0
"190101002106671" 4 1 1 1 1 1
"190101002106996" 4 1 2 2 1 0
"190101002107310" 4 1 2 1 1 0
"190101002107579" 1 1 2 1 1 0
"190101002107997" 4 1 2 1 1 0
"190101002108012" 1 1 2 1 1 0
"190101002108564" 1 1 2 1 1 0
"190101002108672" 4 1 2 3 1 0
"190101002108689" 4 1 2 1 1 1
"190101002109017" 1 1 2 1 1 0
"190101002109057" 4 1 2 1 1 0
"190101002109389" 3 1 2 1 1 0
"190101002109406" 4 1 2 1 1 0
"190101002109667" 3 1 1 1 1 0
"190101002109673" 1 1 1 1 1 0
"190101002109871" 1 1 1 1 1 0
"190101002109933" 4 1 2 2 1 0
"190101002109986" 1 1 2 2 1 0
"190101002110153" 4 1 2 2 1 1
"190101002110619" 4 1 2 3 1 0
"190101002110902" 4 1 2 1 1 0
"190101002111084" 1 1 2 1 1 0
"190101002111134" 3 1 2 2 1 0
"190101002111631" 4 1 2 1 1 1
"190101002111819" 4 1 2 1 1 0
"190101002111822" 4 1 2 1 1 0
"190101002112067" 3 1 2 2 1 0
"190101002112101" 4 1 1 1 1 0
"190101002112243" 1 1 2 1 1 0
"190101002112265" 4 1 2 3 1 0
"190101002112282" 1 1 2 1 1 0
"190101002112301" 4 1 2 1 1 0
"190101002112400" 1 1 2 1 1 0
"190101002112812" 4 1 2 1 1 0
"190101002112890" 1 1 2 1 1 0
"190101002112896" 4 1 2 1 1 0
"190101002113094" 3 1 1 1 1 1
"190101002113346" 4 1 2 1 1 0
"190101002113358" 4 1 2 1 1 1
"190101002113633" 1 1 2 1 1 0
"190101002113669" 1 1 2 1 1 0
"190101002113672" 1 1 2 1 1 0
"190101002113701" 4 1 2 1 1 1
"190101002113825" 4 1 2 1 1 0
"190101002113853" 4 1 1 1 1 0
"190101002113915" 4 1 1 2 1 0
"190101002114083" 4 1 2 1 1 1
"190101002114107" 4 1 2 3 1 1
"190101002114220" 4 1 2 1 1 1
"190101002114766" 4 1 2 1 1 0
"190101002115087" 1 1 2 1 1 0
"190101002115121" 4 1 2 1 1 0
"190101002115504" 4 1 2 1 1 0
"190101002115566" 4 1 1 1 1 1
"190101002115871" 4 1 2 1 1 0
"190101002116195" 4 1 2 1 1 0
"190101002117025" 1 1 2 1 1 0
"190101002117100" 4 1 2 1 1 0
"190101002117118" 3 1 2 1 1 0
"190101002117349" 3 1 2 1 1 0
"190101002117623" 4 1 2 1 1 0
"190101002117628" 4 1 1 1 1 0
"190101002117700" 4 1 2 1 1 1
"190101002117762" 1 1 2 1 1 1
"190101002117779" 4 1 2 1 1 0
"190101002117824" 4 1 2 1 1 0
"190101002118016" 4 1 2 1 1 0
"190101002118221" 1 1 1 1 1 0
"190101002118356" 4 1 2 1 1 0
"190101002118424" 1 1 1 1 1 1
"190101002118539" 1 1 2 1 1 1
"190101002118596" 4 1 1 1 1 1
"190101002118612" 1 1 2 3 1 0
"190101002118906" 1 1 2 1 1 0
"190101002119345" 4 1 2 1 1 1
"190101002119547" 4 1 1 1 1 0
"190101002119706" 4 1 1 1 1 1
"190101002119846" 1 1 2 1 1 0
"190101002119889" 4 1 1 2 1 1
"190101002119958" 4 1 2 1 1 1
"190101002119982" 4 1 2 1 1 1
"190101002119996" 1 1 2 1 1 0
"190101002120049" 4 1 2 1 1 0
"190101002120146" 1 1 2 1 1 0
"190101002120179" 1 1 2 1 1 0
"190101002120199" 1 1 2 1 1 1
"190101002120272" 3 1 1 1 1 0
"190101002120590" 1 1 2 1 1 0
"190101002120738" 4 1 2 1 1 0
"190101002120831" 4 1 1 1 1 1
"190101002121012" 1 1 2 1 1 0
"190101002121072" 4 1 2 1 1 0
"190101002121219" 4 1 2 1 1 1
"190101002121348" 3 1 2 1 1 0
"190101002121360" 1 1 2 1 1 0
"190101002121403" 4 1 2 2 1 1
"190101002121700" 3 1 2 1 1 0
"190101002121710" 3 1 2 3 1 0
"190101002121712" 4 1 2 1 1 1
"190101002121936" 4 1 2 1 1 1
"190101002122105" 3 1 2 1 1 0
"190101002122204" 4 1 2 1 1 0
"190101002122207" 4 1 2 1 1 0
"190101002122208" 1 1 2 1 1 0
"190101002122212" 4 1 2 1 1 0
"190101002122367" 1 1 2 1 1 1
"190101002122605" 1 1 2 1 1 1
"190101002122616" 1 1 2 1 1 0
"190101002122659" 4 1 2 2 1 0
"190101002122746" 4 1 1 2 1 1
"190101002122747" 4 1 2 1 1 0
"190101002122947" 4 1 2 1 1 0
"190101002123063" 1 1 2 1 1 1
"190101002123160" 1 1 2 1 1 0
"190101002123207" 1 1 2 1 1 1
"190101002123265" 1 1 2 1 1 0
"190101002123348" 4 1 2 1 1 0
"190101002123494" 4 1 2 1 1 1
"190101002123731" 4 1 2 2 1 1
"190101002123825" 4 1 2 2 1 0
"190101002123927" 1 1 1 1 1 0
"190101002123962" 4 1 1 1 1 0
"190101002124063" 1 1 1 1 1 0
"190101002124078" 3 1 2 2 1 1
"190101002124198" 4 1 2 1 1 0
"190101002124455" 3 1 2 1 1 1
"190101002124509" 4 1 2 1 1 0
"190101002124583" 4 1 2 2 1 0
"190101002124618" 4 1 1 2 1 0
"190101002124619" 4 1 1 1 1 0
"190101002124715" 4 1 2 1 1 0
"190101002124719" 4 1 2 1 1 0
"190101002124721" 1 1 2 1 1 0
"190101002124722" 1 1 2 1 1 1
"190101002124731" 1 1 2 1 1 0
"190101002124792" 4 1 2 1 1 1
"190101002124800" 4 1 2 1 1 1
"190101002125050" 4 1 1 1 1 1
"190101002125124" 4 1 2 1 1 0
"190101002125215" 1 1 2 2 1 1
"190101002125261" 4 1 2 2 1 1
"190101002125325" 3 1 2 1 1 0
"190101002125537" 4 1 2 3 1 0
"190101002125880" 3 1 2 1 1 0
"190101002125931" 1 1 2 1 1 0
"190101002126157" 3 1 1 1 1 0
"190101002126240" 4 1 2 2 1 1
"190101002126393" 1 1 2 1 1 0
"190101002126394" 3 1 1 2 1 0
"190101002126397" 4 1 2 2 1 1
"190101002126944" 4 1 2 1 1 0
"190101002127037" 4 1 2 1 1 0
"190101002127366" 3 1 2 1 1 1
"190101002127529" 1 1 2 1 1 0
"190101002127597" 4 1 2 1 1 0
"190101002127691" 4 1 2 1 1 0
"190101002128065" 1 1 1 1 1 1
"190101002128323" 4 1 2 1 1 1
"190101002128331" 4 1 2 1 1 1
"190101002128609" 2 1 2 2 1 0
"190101002128661" 4 1 2 1 1 0
"190101002128952" 1 1 2 1 1 1
"190101002128953" 3 1 1 1 1 0
"190101002129405" 1 1 2 1 1 1
"190101002129448" 3 1 2 1 1 0
"190101002129481" 1 1 1 1 1 1
"190101002129509" 4 1 2 1 1 1
"190101002129636" 1 1 2 1 1 1
"190101002129864" 4 1 2 1 1 0
"190101002129898" 4 1 2 1 1 0
"190101002129940" 4 1 2 1 1 0
"190101002130105" 3 1 2 1 1 0
"190101002130153" 4 1 2 2 1 0
"190101002130202" 4 1 2 1 1 0
"190101002130609" 4 1 2 1 1 0
"190101002130672" 4 1 2 1 1 0
"190101002130677" 4 1 2 1 1 0
"190101002130681" 4 1 2 1 1 0
"190101002130711" 1 1 1 2 1 0
"190101002130805" 1 1 2 1 1 0
"1901010021AL191" 4 1 2 2 1 0
"1901010021BE015" 4 1 2 1 1 1
"1901010021CR009" 4 1 2 1 1 0
"1901010021CR016" 1 1 2 1 1 1
"1901010021CR090" 4 1 2 2 1 1
"1901010021CR161" 2 1 2 1 1 0
"1901010021CR206" 4 1 2 3 1 1
"1901010021CR277" 4 1 2 1 1 1
"1901010021CR444" 4 1 2 1 1 1
"1901010021CR502" 1 1 2 1 1 1
"1901010021EU953" 3 1 1 3 1 0
"1901010021FR099" 3 1 1 2 1 0
"1901010021FR154" 3 1 1 1 1 1
"1901010021FR225" 4 1 2 1 1 1
"1901010021FR254" 3 1 2 1 1 1
"1901010021FR356" 3 1 2 1 1 1
"1901010021FR416" 1 1 2 1 1 1
"190101002200096" 1 1 2 2 1 1
"190101002200101" 4 1 1 1 1 0
"190101002200300" 4 1 2 1 1 0
"190101002200415" 4 1 1 2 1 1
"190101002200516" 3 1 1 1 1 1
"190101002200695" 4 1 2 1 1 0
"190101002200738" 4 1 2 2 1 0
"190101002200889" 4 1 2 1 1 0
"190101002200909" 1 1 1 1 1 1
